#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  33300      4.54e+00      2.47e-02      1.66e-01    3.7e-03
  33400      7.36e+00      1.94e-02      2.71e-01    3.7e-03
  33500      6.75e+00      4.04e-02      2.45e-01    3.7e-03
  33600      3.94e+00      3.28e-02      1.43e-01    3.7e-03
  33700      7.08e+00      4.95e-03      2.61e-01    3.7e-03
  33800      4.07e+00      2.18e-02      1.49e-01    3.7e-03
  33900      7.67e+00      2.23e-03      2.83e-01    3.7e-03
  34000      7.59e+00      1.11e-01      2.51e-01    3.7e-03
  34100      7.34e+00      1.20e-03      2.71e-01    3.7e-03
  34200      6.73e+00      2.04e-02      2.47e-01    3.7e-03
  34300      3.66e+00      3.37e-02      1.33e-01    3.7e-03
  34400      6.52e+00      9.68e-03      2.40e-01    3.7e-03
  34500      5.03e+00      1.17e-01      1.64e-01    3.7e-03
  34600      3.95e+00      9.44e-03      1.45e-01    3.7e-03
  34700      7.17e+00      6.83e-03      2.64e-01    3.7e-03
  34800      4.40e+00      1.97e-02      1.62e-01    3.7e-03
  34900      3.04e+00      3.11e-02      1.10e-01    3.7e-03
  35000      6.07e+00      1.04e-02      2.29e-01    3.5e-03
  35100      6.88e+00      7.58e-02      2.43e-01    3.5e-03
  35200      7.68e+00      1.50e-02      2.90e-01    3.5e-03
  35300      7.25e+00      5.49e-02      2.66e-01    3.5e-03
  35400      6.55e+00      8.05e-03      2.47e-01    3.5e-03
  35500      6.71e+00      1.06e-02      2.54e-01    3.5e-03
  35600      6.28e+00      3.00e-02      2.35e-01    3.5e-03
  35700      5.97e+00      2.16e-02      2.24e-01    3.5e-03
  35800      1.31e+01      2.91e-02      4.93e-01    3.5e-03
  35900      2.96e+00      7.75e-03      1.12e-01    3.5e-03
  36000      3.41e+00      3.19e-02      1.26e-01    3.5e-03
  36100      6.51e+00      4.75e-02      2.39e-01    3.5e-03
  36200      5.49e+00      2.01e-02      2.06e-01    3.5e-03
  36300      5.74e+00      9.48e-03      2.17e-01    3.5e-03
  36400      3.02e+00      2.65e-02      1.12e-01    3.5e-03
  36500      6.55e+00      5.20e-02      2.40e-01    3.5e-03
  36600      6.85e+00      1.21e-02      2.59e-01    3.5e-03
  36700      5.92e+00      1.12e-02      2.23e-01    3.5e-03
  36800      6.66e+00      2.54e-02      2.50e-01    3.5e-03
  36900      6.34e+00      1.33e-03      2.40e-01    3.5e-03
  37000      6.79e+00      1.27e-02      2.56e-01    3.5e-03
  37100      1.07e+01      1.29e-01      3.72e-01    3.5e-03
  37200      9.09e+00      8.55e-03      3.44e-01    3.5e-03
  37300      6.50e+00      5.25e-03      2.46e-01    3.5e-03
  37400      7.67e+00      2.77e-02      2.88e-01    3.5e-03
  37500      6.78e+00      1.93e-03      2.57e-01    3.5e-03
  37600      6.57e+00      3.11e-02      2.46e-01    3.5e-03
  37700      3.72e+00      9.40e-03      1.41e-01    3.5e-03
  37800      3.77e+00      2.91e-02      1.41e-01    3.5e-03
  37900      7.59e+00      3.38e-02      2.84e-01    3.5e-03
  38000      7.44e+00      5.19e-02      2.75e-01    3.5e-03
  38100      6.42e+00      5.76e-02      2.33e-01    3.5e-03
  38200      6.30e+00      1.56e-02      2.37e-01    3.5e-03
  38300      4.42e+01      2.28e-01      1.66e+00    3.5e-03
  38400      6.66e+00      4.29e-02      2.47e-01    3.5e-03
  38500      7.17e+00      3.01e-02      2.69e-01    3.5e-03
  38600      5.60e+00      1.35e-01      1.81e-01    3.5e-03
  38700      8.02e+00      2.31e-02      3.02e-01    3.5e-03
  38800      3.75e+00      1.37e-02      1.42e-01    3.5e-03
  38900      5.84e+00      1.41e-02      2.20e-01    3.5e-03
  39000      6.67e+00      4.97e-03      2.52e-01    3.5e-03
  39100      6.88e+00      1.85e-02      2.59e-01    3.5e-03
  39200      4.69e+00      4.32e-02      1.74e-01    3.5e-03
  39300      6.19e+00      1.96e-02      2.33e-01    3.5e-03
  39400      6.54e+00      3.95e-03      2.48e-01    3.5e-03
  39500      1.00e+01      4.66e-03      3.79e-01    3.5e-03
  39600      6.37e+00      1.91e-02      2.40e-01    3.5e-03
  39700      3.83e+00      4.03e-03      1.45e-01    3.5e-03
  39800      7.16e+00      2.13e-02      2.70e-01    3.5e-03
  39900      6.23e+00      7.05e-03      2.36e-01    3.5e-03
  40000      4.60e+00      5.76e-02      1.71e-01    3.3e-03
  40100      6.96e+00      5.60e-02      2.60e-01    3.3e-03
  40200      6.23e+00      1.95e-03      2.42e-01    3.3e-03
  40300      6.01e+00      2.96e-02      2.30e-01    3.3e-03
  40400      9.71e+00      7.98e-02      3.73e-01    3.3e-03
  40500      7.74e+00      2.48e-02      2.99e-01    3.3e-03
  40600      5.78e+00      7.90e-03      2.24e-01    3.3e-03
  40700      6.61e+00      3.68e-02      2.52e-01    3.3e-03
